client_id,PRBmean,CQImean,lat_p95_ms,UE,slice_entropy,sla_ok_rate,regime
C001,81.13618676651654,10.593062974619984,54.11668120525616,18.56,1.8901513825283163,0.32,heavy
C002,76.58342174476898,9.465970564998118,50.33379967952134,16.226666666666667,2.057689923071091,0.5266666666666666,medium
C003,79.06190174927028,10.90311732143939,49.587007265404296,15.066666666666666,2.1155375404686145,0.49333333333333335,heavy
C004,83.6570414515341,7.863359479453165,61.82046892829648,16.593333333333334,1.5017236157449483,0.07333333333333333,heavy
C005,48.883184681993285,9.868372516273066,26.19793709551024,12.086666666666666,1.5644541748196472,1.0,light
C006,73.67276899185798,8.130531490406135,71.14422593272388,16.653333333333332,1.404488904147896,0.006666666666666667,impaired
C007,86.15363901565745,10.241280910483974,62.29467843669592,20.073333333333334,1.882754720496177,0.05333333333333334,heavy
C008,83.68528917853897,9.269151835640688,58.58956481258904,18.106666666666666,2.0586749074494137,0.15333333333333332,heavy
C009,43.23875345635319,7.83376069730748,26.266226398397006,10.026666666666667,1.1007304626549208,1.0,light
C010,63.248277538689536,8.6844075942926,38.87776246961417,13.366666666666667,2.1115321199783748,0.8733333333333333,medium
C011,58.896379066691054,8.386936795057723,34.45950443071501,9.886666666666667,1.661098939543459,0.9733333333333334,medium
C012,58.2797025113997,6.943318809119006,60.88539784413168,16.826666666666668,1.699183266874324,0.15333333333333332,impaired
C013,89.70198080158943,9.806835227943308,66.88608173331649,23.093333333333334,1.928942093488679,0.013333333333333334,heavy
C014,81.63130878204056,10.596468854687576,58.96902907446086,22.486666666666668,2.072900014208924,0.11333333333333333,heavy
C015,73.09793380539682,7.322084551311193,54.94816697917095,17.493333333333332,1.6372608642386066,0.2866666666666667,medium
C016,57.39872995382358,8.358501340397488,43.76932539942481,21.9,2.13178712976857,0.7266666666666667,medium
C017,67.19234163019802,8.331620914880324,45.55176636589089,15.32,1.8645960576955523,0.7133333333333334,medium
C018,60.943412598559576,9.862860894827323,32.20089020738707,9.886666666666667,1.8800486725426402,0.98,light
C019,88.44700527663484,8.158900712248766,66.73740318443437,19.253333333333334,2.038634033063059,0.09333333333333334,heavy
C020,84.06786963054067,11.550010252434701,51.648136031259064,13.226666666666667,1.824429383629163,0.42,heavy
C021,85.08025395539468,9.118766349432054,61.6916566463133,18.653333333333332,2.090170455940728,0.08666666666666667,heavy
C022,66.62915190061362,8.034625153144002,40.9841860925693,9.253333333333334,1.4567569883570344,0.86,medium
C023,66.70578548371697,4.513461129672289,77.33749493339998,15.886666666666667,1.7746062724684104,0.0,impaired
C024,81.5728664177537,10.007474533870889,60.920806271342855,23.74,1.8066972570345983,0.09333333333333334,heavy
C025,74.12725916018434,9.491219744171895,56.39918243007533,24.08,1.9688833602032743,0.21333333333333335,heavy
C026,47.58509295603779,9.733284248455913,23.38918473988987,8.093333333333334,1.842270401109126,1.0,light
C027,67.54286072778274,7.740701804784882,46.26284791746864,12.413333333333334,1.2027551372808378,0.6733333333333333,medium
C028,48.14865892645117,7.56650864050823,32.88423267130007,14.053333333333333,1.875795264955943,0.9733333333333334,light
C029,46.91385772147616,10.394614710593617,25.409305002316213,13.353333333333333,1.325934741376144,1.0,light
C030,86.23831854032329,9.704351685413176,59.30451651711349,16.813333333333333,2.061732959249268,0.11333333333333333,heavy
C031,80.60734220256143,11.611171012628125,57.361256297134595,21.68,1.9042196027695388,0.14666666666666667,heavy
C032,75.72109673600494,7.442510160127493,71.84673805445192,14.48,1.7468351275866845,0.0,impaired
C033,66.61652823935464,10.257051230720121,42.25995251201684,17.06,1.9662666371926116,0.8666666666666667,medium
C034,61.83023557157208,7.35467685439251,50.44205705683693,22.8,1.9851830050840629,0.48,medium
C035,72.34493268566878,9.505302186350667,48.00319504688408,16.186666666666667,2.0333530114344547,0.6133333333333333,medium
C036,50.80392685444777,9.816674496937285,24.940444936625376,8.093333333333334,1.8090311282695113,1.0,light
C037,49.80343204433783,11.403318470925552,23.02622721321735,9.64,1.8334809291335679,1.0,light
C038,65.81095457302261,9.471267546484532,40.660432696093835,15.613333333333333,1.9818424983307428,0.8866666666666667,medium
C039,65.4851288151706,10.592090074162087,39.62967098952518,15.626666666666667,1.66516315087413,0.8933333333333333,medium
C040,76.85270542304188,10.016826862879787,56.313643078201615,21.86,1.5201365461814473,0.24,heavy
C041,58.43699216327551,9.686675445499953,35.69346088480244,14.733333333333333,1.421948614075497,0.9733333333333334,medium
C042,95.47919854607348,6.980373626179018,77.79213635082509,21.946666666666665,2.1095474499600204,0.0,heavy
C043,80.59428720853417,8.361446005276257,57.57686191422972,16.133333333333333,1.939900432303094,0.18666666666666668,heavy
C044,66.24094423106077,9.24192074144712,46.46299021308515,18.78,1.813073899753433,0.6733333333333333,medium
C045,89.66544011297182,9.093729203355224,67.18741529988013,21.653333333333332,1.8691246483374941,0.02,heavy
C046,75.46186983694929,9.036004159514869,54.799670530291905,19.886666666666667,1.906460042516791,0.31333333333333335,heavy
C047,49.3875569313582,8.194062114120742,32.15059793414933,14.793333333333333,1.8637936426437678,0.9866666666666667,medium
C048,67.49510864901167,9.243410299108332,44.70806511655349,15.9,1.9957298899716038,0.7533333333333333,medium
C049,88.28349909246568,8.427759204338109,63.514502804450764,17.226666666666667,2.05777824061068,0.04,heavy
