client_id,regime,window_idx,timestamp_s,delta_s,PRBmean,PRBp95,CQImean,CQIp05,SINR_dB,BLER_DL,BLER_UL,HARQ_retx,UE,HO,DLthrmean_Mbps,ULthrmean_Mbps,lat_p50_ms,lat_p95_ms,slice_imbalance,slice_entropy,p_eMBB,p_URLLC,p_mMTC,p_XR,p_BE,reward,sla_ok_current,sla_ok_next
C001,heavy,0,0,90,80.80351246746903,86.50091116769238,9.050417388582686,7.037909000183426,14.749195974145096,0.03316269298474167,0.03956412729697367,3,21,2,66.73706562460968,13.04952598843858,29.618799512003868,54.726137841812516,0.14323546989989544,1.9893456331424018,0.25014304492916883,0.22038102673424245,0.3008723462261594,0.22857968117422572,2.390093620375223e-05,0.9568200960104865,0,0
C001,heavy,1,90,90,77.99071736663039,82.28319784730051,10.632817611304736,8.189750390560503,16.96746571550971,0.0029630867138704976,0.01962243736241973,0,19,2,69.34099391559651,12.482493229571556,26.741841555513666,50.06596688328006,0.36005060143039813,1.4859164878450288,0.625020657368178,0.21090576859567603,0.054495858942132734,0.10826268724452327,0.0013150278494899782,0.9993411903727314,0,0
C001,heavy,2,180,90,76.99797197625682,85.43080416552714,9.70791368430205,9.369616994310482,15.160289720187874,0.0347807824618452,0.030923627964059272,1,21,0,65.76749721941863,24.46535884530021,36.42171316272122,50.18856184258926,0.21789225231380482,1.815997952581653,0.37454193502170097,0.08772678447212325,0.17087257306229442,0.3657280178042244,0.0011306896396571949,0.9981214560458658,0,0
C001,heavy,3,270,90,78.286702610842,88.71114491515165,10.763435837508075,7.92846767791199,25.263539602443704,0.0,0.0,0,22,0,67.60145142368613,19.81315561879465,29.460472317696382,56.498052667207546,0.28364463746421364,1.663325642195064,0.2672859409556686,0.021607622770060845,0.25408819541811356,0.45527925715779205,0.001738983698364848,0.9424931192720084,0,1
C001,heavy,4,360,90,83.06609654765013,89.25490572136381,10.651109650058261,8.640564874110833,12.604191402746423,0.06438567000941849,0.052291686085985487,1,20,0,68.28831650311061,22.71694256211977,34.056783505792616,47.66456876094843,0.26327452021520437,1.7106235897316884,0.5084138699356401,0.0696432015895174,0.21918786672587076,0.2027550328518952,2.8897076529810236e-08,1.0,1,0
C001,heavy,5,450,90,75.27520978961412,84.71041691960363,9.470026395691574,6.118200069032757,17.601705888176188,0.022295937499923934,0.029364483141350976,3,18,0,69.92264414943024,17.483636408535823,27.1302646478639,52.21507733245111,0.16951844031562247,1.928318465717032,0.27674712207994656,0.2617635107533977,0.34073503798284377,0.119245192386348,0.0015091367974638587,0.9787889015664422,0,1
C001,heavy,6,540,90,72.08724794224183,78.37193888930092,9.826131765196363,9.63080709048101,17.843827855627442,0.007770152189544178,0.022223719000717894,3,19,0,67.31806114786562,16.841969761639337,24.514134153799706,41.11066041955457,0.16904272505321338,1.9294230423499863,0.306353550120281,0.14663215670293828,0.3390316115842017,0.20797041454387039,1.2267048708596367e-05,1.0,1,0
C001,heavy,7,630,90,74.4651506909334,79.53252593977405,9.471315321875819,8.250661217324875,11.612416024883368,0.07827620979827099,0.08806632032847386,2,20,2,60.69154307147899,22.760746075202007,32.39576966584581,54.20722329627011,0.24629147920569994,1.750056989788281,0.485698185793675,0.05924728099889252,0.3248750093676305,0.10482985922551159,0.025349664614290418,0.961193140297357,0,0
C001,heavy,8,720,90,78.12586281482457,91.44651701465901,8.752588865332495,5.827765901834056,11.46042444589484,0.07915788446805137,0.09204162623269059,1,18,1,74.67547498716138,15.800657049888327,33.10126882357696,59.634288601172955,0.14761920426909292,1.9791669171500388,0.18725188158750444,0.26047678596421187,0.2454364024869611,0.3067868754943818,4.805446694076842e-05,0.9192218967845015,0,1
C001,heavy,9,810,90,76.97967203217526,82.37441057204512,10.792293518872434,9.33643227343402,14.29554329021716,0.01929867737166879,0.038555857055266075,1,19,3,61.68261662440726,20.181177490603538,22.30449087751003,45.51359320023001,0.20060633649478965,1.8561346061676822,0.21935731135611083,0.1295471400119352,0.44086494840044593,0.21022155819849755,9.042033010361701e-06,1.0,1,0
